Object_ID,Class_Label,Confidence_Score,X_Min,Y_Min,X_Max,Y_Max,OUT_Prob,FAR_Prob,FAD_Prob,NEG_Prob,CLU_Prob,RAD_Prob,REFL_Prob,TEXT_Prob
0,book,0.9670,316,957,634,1080,0.8929,0.0182,0.4211,0.0334,0.8666,0.2720,0.2969,0.9992
1,cup,0.9016,917,736,964,796,0.2867,0.3334,0.4158,0.1468,0.5888,0.4334,0.8754,0.9967
2,book,0.7838,1227,811,1395,900,0.6119,0.0104,0.3760,0.0017,0.9940,0.0910,0.6498,0.9940
3,book,0.9224,1187,1292,1535,1481,0.1829,0.0196,0.2377,0.1576,0.9892,0.1526,0.8029,0.3129
4,book,0.9757,107,1267,710,1533,0.6135,0.0602,0.3614,0.1668,0.6184,0.1105,0.8984,0.5778
5,book,0.9896,245,869,611,1032,0.8345,0.0453,0.4079,0.0641,0.7158,0.1099,0.6756,0.9952
6,potted_plant,0.9853,0,243,236,688,0.0195,0.2254,0.4166,0.0329,0.9801,0.0596,0.3864,0.8548
7,cup,0.9938,554,1108,797,1357,0.5713,0.4244,0.5057,0.1008,0.6343,0.9855,0.5900,0.9986
8,couch,0.8822,36,605,394,803,0.1157,0.0230,0.3281,0.0600,0.9994,0.0608,0.6318,0.7755
9,chair,0.9972,972,639,1197,896,0.0511,0.4012,0.6811,0.0978,0.9820,0.1781,0.6449,0.6248
10,potted_plant,0.9579,1321,431,1411,567,0.0341,0.0721,0.3621,0.3326,0.9955,0.1539,0.9440,0.9880
11,book,0.9240,310,1050,655,1226,0.3255,0.1133,0.3408,0.0365,0.9776,0.2148,0.8662,0.8672
12,potted_plant,0.9211,1485,75,1535,208,0.2335,0.0623,0.2895,0.4548,0.9441,0.3806,0.5131,0.9874
13,book,0.8381,297,1165,552,1291,0.7053,0.0161,0.2802,0.0944,0.9441,0.1525,0.8736,0.9948
14,book,0.9571,317,992,637,1128,0.7358,0.0443,0.3927,0.0466,0.9309,0.1344,0.6777,0.9973
15,book,0.9745,1181,1247,1535,1502,0.1119,0.0470,0.3250,0.0311,0.9958,0.2339,0.8604,0.7462
16,potted_plant,0.9384,343,95,422,235,0.0549,0.2397,0.5142,0.0343,0.9825,0.2067,0.6117,0.9944
17,potted_plant,0.8463,1171,330,1237,450,0.1870,0.2687,0.4380,0.0470,0.9955,0.4123,0.3929,0.9765
18,book,0.9455,323,1008,640,1149,0.5708,0.0268,0.3039,0.0252,0.9497,0.0700,0.7986,0.9801
19,suitcase,0.9886,541,607,735,914,0.6074,0.0480,0.2757,0.4598,0.3498,0.2857,0.9786,0.9934
20,potted_plant,0.9884,1290,1047,1491,1305,0.4057,0.0109,0.4391,0.0308,0.9887,0.1206,0.7928,0.9858
21,book,0.9806,742,1261,1015,1481,0.7108,0.2164,0.6668,0.0885,0.7712,0.2936,0.7922,0.9982
22,vase,0.9840,0,821,346,1429,0.1567,0.0156,0.2855,0.0364,0.9688,0.9707,0.6979,0.9141
23,cup,0.9742,663,969,809,1180,0.3409,0.0382,0.4419,0.2031,0.9786,0.6620,0.6869,0.7536
24,potted_plant,0.8205,0,233,371,1420,0.0198,0.0143,0.3863,0.0092,0.9978,0.3124,0.3194,0.5703
25,book,0.8294,1143,950,1278,1010,0.4158,0.0303,0.2128,0.0437,0.9594,0.2768,0.9283,0.9910
26,book,0.9441,317,1043,637,1188,0.8352,0.1185,0.3311,0.0375,0.9702,0.2863,0.6681,0.9698
27,chair,0.8274,1432,665,1536,833,0.4035,0.0979,0.3728,0.0797,0.9748,0.3660,0.5135,0.8665
