Object_ID,Class_Label,Confidence_Score,X_Min,Y_Min,X_Max,Y_Max,OUT_Prob,FAR_Prob,FAD_Prob,NEG_Prob,CLU_Prob,RAD_Prob,REFL_Prob,TEXT_Prob
0,knife,0.7857,1191,869,1345,1023,0.6094,0.0737,0.3786,0.0303,0.3471,0.4729,0.9009,0.9958
1,dining_table,0.9508,0,610,1364,1010,0.0969,0.3426,0.4622,0.0009,0.8129,0.3007,0.4142,0.9862
2,bowl,0.9789,1186,675,1365,830,0.6154,0.0185,0.4244,0.0030,0.9267,0.9124,0.3555,0.7793
3,couch,0.9926,0,269,628,735,0.1556,0.2611,0.4789,0.0013,0.9749,0.1200,0.4061,0.8803
4,potted_plant,0.9924,174,95,462,394,0.0251,0.3809,0.4487,0.0010,0.9949,0.0719,0.7632,0.9622
5,chair,0.9972,1101,315,1258,593,0.1086,0.2065,0.4416,0.0065,0.8761,0.1807,0.9184,0.9402
6,book,0.9688,1,676,559,974,0.5214,0.0282,0.2354,0.0060,0.9806,0.0533,0.8538,0.9254
7,book,0.9678,2,741,590,1018,0.8569,0.0151,0.1677,0.0093,0.9823,0.1163,0.7737,0.9154
8,book,0.9415,885,816,1351,1018,0.1905,0.1003,0.4226,0.0440,0.1914,0.6355,0.8230,0.9899
9,potted_plant,0.9957,551,464,796,762,0.1257,0.1381,0.6815,0.0042,0.9607,0.2178,0.7328,0.9928
10,potted_plant,0.9576,1078,228,1182,345,0.2632,0.0482,0.2889,0.0083,0.9723,0.5656,0.7620,0.9914
11,dining_table,0.8940,1015,328,1203,574,0.1074,0.0956,0.4389,0.0031,0.9277,0.1660,0.7343,0.9397
12,potted_plant,0.9770,1232,3,1364,625,0.0822,0.4500,0.5092,0.0504,0.9941,0.1474,0.6634,0.9757
13,cup,0.9785,64,510,334,732,0.9863,0.2306,0.7028,0.0249,0.4446,0.8811,0.4452,0.9910
14,cat,0.9985,141,422,453,525,0.4386,0.0469,0.2190,0.0058,0.8651,0.3217,0.5268,0.9841
15,potted_plant,0.7129,603,0,740,183,0.0741,0.3720,0.4845,0.0066,0.9944,0.0407,0.5804,0.9791
16,bicycle,0.9925,954,286,1092,527,0.2270,0.0918,0.4493,0.0228,0.9485,0.3116,0.6618,0.9551
