Object_ID,Class_Label,Confidence_Score,X_Min,Y_Min,X_Max,Y_Max,OUT_Prob,FAR_Prob,FAD_Prob,NEG_Prob,CLU_Prob,RAD_Prob,REFL_Prob,TEXT_Prob
0,person,0.9977,1118,659,1222,933,0.9907,0.1865,0.4271,0.1106,0.3794,0.0107,0.8567,0.9982
1,bench,0.9204,625,785,824,853,0.9992,0.1651,0.2488,0.0089,0.8150,0.1333,0.2323,0.9891
2,dining_table,0.8236,1359,789,1466,900,0.9423,0.4823,0.3479,0.1623,0.7866,0.0283,0.8020,0.9970
3,person,0.9887,342,643,410,797,0.9938,0.2350,0.4425,0.2591,0.9126,0.0665,0.8389,0.9816
4,person,0.9647,608,630,650,754,0.9920,0.1002,0.4540,0.0755,0.4072,0.3080,0.9216,0.9870
5,person,0.9777,503,662,576,846,0.9575,0.1050,0.4102,0.0116,0.8402,0.0362,0.7477,0.9901
6,person,0.9642,638,707,724,804,0.9948,0.4118,0.3163,0.0098,0.9241,0.0092,0.8741,0.9997
7,person,0.7405,160,684,214,739,0.9539,0.0732,0.3381,0.0237,0.9227,0.4168,0.5717,0.8164
8,person,0.8073,1125,625,1160,703,0.9889,0.2988,0.4353,0.4870,0.5971,0.5331,0.5053,0.7356
9,person,0.8887,1290,633,1338,730,0.9944,0.3331,0.4956,0.3456,0.4018,0.1021,0.8249,0.9978
10,chair,0.9742,1287,779,1365,890,0.9478,0.1487,0.4380,0.1978,0.5315,0.0244,0.8507,0.9990
11,person,0.9505,569,640,613,756,0.7657,0.3541,0.5760,0.0335,0.7644,0.0607,0.8697,0.9748
12,person,0.9731,1072,643,1128,762,0.9977,0.0439,0.2581,0.1073,0.6154,0.1532,0.8290,0.9986
13,dog,0.9953,276,820,342,904,0.9947,0.1259,0.2800,0.0421,0.3792,0.0531,0.7627,0.9723
14,suitcase,0.9962,1184,807,1268,949,0.9670,0.0665,0.3372,0.0469,0.7008,0.0241,0.8772,0.9931
15,bench,0.8619,814,724,913,840,0.9990,0.2641,0.2442,0.0029,0.3489,0.1356,0.7186,0.9797
16,bench,0.9134,815,723,917,839,0.9992,0.2447,0.2282,0.0026,0.3248,0.1820,0.6602,0.9659
17,person,0.9749,688,634,733,750,0.9947,0.1111,0.4391,0.1315,0.5242,0.0870,0.7984,0.9947
18,person,0.8341,1261,629,1298,720,0.9950,0.4004,0.4456,0.3458,0.6871,0.4614,0.4863,0.9468
19,person,0.9828,1284,717,1385,895,0.9663,0.3661,0.4749,0.0958,0.9572,0.0188,0.6397,0.9990
20,chair,0.8321,815,731,902,843,0.9992,0.2951,0.2948,0.0026,0.4307,0.3074,0.6250,0.9690
21,dining_table,0.9247,1353,781,1452,817,0.2133,0.3343,0.3410,0.0986,0.9920,0.1356,0.4382,0.9662
22,person,0.9122,1394,713,1502,897,0.9353,0.7360,0.3269,0.1143,0.8762,0.0054,0.4288,0.9959
23,person,0.9749,461,636,518,795,0.9955,0.2733,0.3997,0.0500,0.3937,0.2623,0.6955,0.9826
24,potted_plant,0.9487,32,691,114,827,0.9921,0.0923,0.3229,0.0136,0.9717,0.4338,0.2056,0.8848
25,bench,0.8017,749,720,825,779,0.9971,0.2570,0.2907,0.0027,0.9373,0.2759,0.4455,0.9787
26,person,0.9043,1327,637,1370,753,0.9927,0.2004,0.4285,0.8065,0.8033,0.1552,0.6981,0.9906
27,person,0.9940,216,654,304,860,0.9951,0.2916,0.4213,0.0055,0.5608,0.0211,0.8891,0.9991
