Object_ID,Class_Label,Confidence_Score,X_Min,Y_Min,X_Max,Y_Max,OUT_Prob,FAR_Prob,FAD_Prob,NEG_Prob,CLU_Prob,RAD_Prob,REFL_Prob,TEXT_Prob
0,person,0.9045,1702,887,1723,917,0.9947,0.0468,0.3967,0.3928,0.6225,0.8991,0.3162,0.9488
1,truck,0.9525,978,739,1059,820,0.9620,0.0019,0.1748,0.1362,0.1898,0.0613,0.9584,0.9954
2,person,0.9103,1663,935,1683,969,0.9394,0.4246,0.5069,0.2003,0.5868,0.8521,0.4497,0.8987
3,person,0.8659,639,799,664,836,0.9874,0.4066,0.6251,0.3283,0.3731,0.8435,0.6099,0.9295
4,person,0.8501,1563,888,1578,910,0.8994,0.1899,0.3367,0.0983,0.8666,0.8190,0.3238,0.9863
5,person,0.8539,629,799,654,836,0.9845,0.0808,0.3214,0.3350,0.4812,0.6297,0.6214,0.6867
6,person,0.8755,612,808,637,844,0.9324,0.1858,0.3617,0.3528,0.2024,0.5254,0.7397,0.8862
7,person,0.9183,376,914,396,943,0.9669,0.8513,0.4697,0.1744,0.5434,0.9146,0.4587,0.9265
8,truck,0.9745,1165,604,1249,690,0.9580,0.0084,0.3453,0.0262,0.1942,0.2322,0.9485,0.9963
9,person,0.9023,1660,922,1684,958,0.9911,0.4538,0.4006,0.4188,0.6870,0.8413,0.3708,0.9900
10,person,0.9011,1678,920,1704,955,0.9963,0.4439,0.3620,0.3221,0.9667,0.6046,0.6459,0.9952
